id;year;type_obj;from_obj;to_inf;cost;only;hard
1;2020;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
2;2021;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
3;2022;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
4;2023;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
5;2024;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
6;2025;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
7;2026;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
8;2027;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
9;2028;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
10;2029;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
11;2030;inf;222;419;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
12;2020;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
13;2021;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
14;2022;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
15;2023;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
16;2024;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
17;2025;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
18;2026;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
19;2027;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
20;2028;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
21;2029;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
22;2030;inf;227;431;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
23;2020;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
24;2021;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
25;2022;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
26;2023;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
27;2024;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
28;2025;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
29;2026;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
30;2027;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
31;2028;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
32;2029;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
33;2030;inf;223;421;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
34;2020;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
35;2021;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
36;2022;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
37;2023;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
38;2024;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
39;2025;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
40;2026;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
41;2027;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
42;2028;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
43;2029;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
44;2030;inf;225;423;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
45;2020;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
46;2021;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
47;2022;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
48;2023;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
49;2024;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
50;2025;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
51;2026;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
52;2027;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
53;2028;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
54;2029;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
55;2030;inf;224;422;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
56;2020;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
57;2021;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
58;2022;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
59;2023;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
60;2024;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
61;2025;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
62;2026;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
63;2027;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
64;2028;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
65;2029;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
66;2030;inf;226;424;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
78;2020;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
79;2021;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
80;2022;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
81;2023;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
82;2024;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
83;2025;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
84;2026;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
85;2027;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
86;2028;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
87;2029;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
88;2030;inf;221;418;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
89;2020;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
90;2021;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
91;2022;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
92;2023;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
93;2024;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
94;2025;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
95;2026;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
96;2027;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
97;2028;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
98;2029;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
99;2030;inf;228;437;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
100;2020;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
101;2021;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
102;2022;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
103;2023;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
104;2024;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
105;2025;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
106;2026;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
107;2027;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
108;2028;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
109;2029;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
110;2030;inf;229;438;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
111;2020;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
112;2021;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
113;2022;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
114;2023;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
115;2024;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
116;2025;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
117;2026;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
118;2027;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
119;2028;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
120;2029;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
121;2030;inf;211;406;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
122;2020;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
123;2021;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
124;2022;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
125;2023;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
126;2024;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
127;2025;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
128;2026;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
129;2027;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
130;2028;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
131;2029;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
132;2030;inf;210;405;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
133;2020;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
134;2021;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
135;2022;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
136;2023;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
137;2024;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
138;2025;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
139;2026;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
140;2027;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
141;2028;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
142;2029;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
143;2030;inf;213;408;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
144;2020;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
145;2021;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
146;2022;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
147;2023;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
148;2024;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
149;2025;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
150;2026;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
151;2027;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
152;2028;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
153;2029;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
154;2030;inf;212;407;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
155;2020;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
156;2021;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
157;2022;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
158;2023;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
159;2024;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
160;2025;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
161;2026;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
162;2027;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
163;2028;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
164;2029;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
165;2030;inf;232;442;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
166;2020;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
167;2021;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
168;2022;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
169;2023;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
170;2024;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
171;2025;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
172;2026;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
173;2027;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
174;2028;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
175;2029;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
176;2030;inf;233;443;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
177;2020;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
178;2021;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
179;2022;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
180;2023;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
181;2024;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
182;2025;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
183;2026;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
184;2027;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
185;2028;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
186;2029;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
187;2030;inf;214;409;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
188;2020;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
189;2021;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
190;2022;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
191;2023;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
192;2024;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
193;2025;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
194;2026;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
195;2027;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
196;2028;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
197;2029;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
198;2030;inf;215;412;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
199;2020;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
200;2021;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
201;2022;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
202;2023;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
203;2024;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
204;2025;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
205;2026;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
206;2027;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
207;2028;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
208;2029;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
209;2030;inf;218;415;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
210;2020;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
211;2021;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
212;2022;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
213;2023;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
214;2024;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
215;2025;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
216;2026;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
217;2027;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
218;2028;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
219;2029;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
220;2030;inf;216;413;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
221;2020;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
222;2021;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
223;2022;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
224;2023;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
225;2024;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
226;2025;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
227;2026;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
228;2027;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
229;2028;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
230;2029;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
231;2030;inf;231;441;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
232;2020;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
233;2021;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
234;2022;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
235;2023;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
236;2024;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
237;2025;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
238;2026;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
239;2027;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
240;2028;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
241;2029;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
242;2030;inf;220;417;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
243;2020;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
244;2021;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
245;2022;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
246;2023;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
247;2024;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
248;2025;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
249;2026;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
250;2027;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
251;2028;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
252;2029;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
253;2030;inf;230;439;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
276;2020;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
277;2021;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
278;2022;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
279;2023;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
280;2024;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
281;2025;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
282;2026;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
283;2027;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
284;2028;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
285;2029;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
286;2030;inf;234;444;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
287;2020;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
288;2021;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
289;2022;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
290;2023;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
291;2024;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
292;2025;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
293;2026;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
294;2027;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
295;2028;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
296;2029;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
297;2030;inf;219;416;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
313;2016;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
314;2017;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
315;2018;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
316;2019;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
317;2020;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
318;2021;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
319;2022;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
320;2023;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
321;2024;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
322;2025;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
323;2026;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
324;2027;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
325;2028;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
326;2029;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
327;2030;inf;130;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
328;2016;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
329;2017;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
330;2018;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
331;2019;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
332;2020;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
333;2021;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
334;2022;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
335;2023;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
336;2024;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
337;2025;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
338;2026;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
339;2027;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
340;2028;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
341;2029;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
342;2030;inf;132;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
343;2016;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
344;2017;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
345;2018;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
346;2019;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
347;2020;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
348;2021;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
349;2022;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
350;2023;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
351;2024;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
352;2025;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
353;2026;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
354;2027;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
355;2028;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
356;2029;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
357;2030;inf;133;219;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
358;2016;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
359;2017;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
360;2018;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
361;2019;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
362;2020;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
363;2021;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
364;2022;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
365;2023;inf;101;201;0;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ
